country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","26-02-2026 10:00:00",12.938539,77.590100,OZONE,18,84,26
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","26-02-2026 10:00:00",12.7816279,77.6299145,PM2.5,35,77,61
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","26-02-2026 10:00:00",12.7816279,77.6299145,NO2,21,22,22
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","26-02-2026 10:00:00",12.7816279,77.6299145,NH3,3,4,3
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","26-02-2026 10:00:00",13.0270199,77.494094,PM2.5,18,83,36
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","26-02-2026 10:00:00",30.943887,76.801991,OZONE,32,142,44
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC","26-02-2026 10:00:00",34.031606,75.009712,PM10,20,73,48
India,Jammu_and_Kashmir,Srinagar,"Khunmoh, Srinagar - JKPCC","26-02-2026 10:00:00",34.06313,74.96017,PM2.5,17,41,27
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKPCC","26-02-2026 10:00:00",34.066206,74.819820,PM2.5,16,36,25
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","26-02-2026 10:00:00",12.9135218,77.5950804,PM2.5,27,95,58
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","26-02-2026 10:00:00",12.9135218,77.5950804,NO2,2,27,18
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","26-02-2026 10:00:00",12.951913,77.539784,CO,12,82,28
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","26-02-2026 10:00:00",12.951913,77.539784,OZONE,47,287,94
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","26-02-2026 10:00:00",13.428828,77.731418,NO2,14,42,25
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","26-02-2026 10:00:00",13.428828,77.731418,CO,4,20,16
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","26-02-2026 10:00:00",13.428828,77.731418,OZONE,22,29,24
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","26-02-2026 10:00:00",13.328028,75.797056,SO2,1,4,3
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","26-02-2026 10:00:00",15.459706,75.008381,SO2,7,9,8
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","26-02-2026 10:00:00",17.336318,76.847397,NO2,11,18,15
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","26-02-2026 10:00:00",12.415911,75.735050,PM2.5,15,55,31
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","26-02-2026 10:00:00",12.415911,75.735050,OZONE,2,5,3
India,Haryana,Jind,"Police Lines, Jind - HSPCB","26-02-2026 10:00:00",29.307814,76.337619,OZONE,10,29,14
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","26-02-2026 10:00:00",29.8006,76.4155,PM2.5,83,264,145
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","26-02-2026 10:00:00",29.695300,77.002700,NH3,6,7,6
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","26-02-2026 10:00:00",29.966942,76.875879,NH3,5,5,5
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","26-02-2026 10:00:00",29.966942,76.875879,OZONE,26,64,31
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","26-02-2026 10:00:00",27.9002,76.9938,PM10,36,118,86
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","26-02-2026 10:00:00",27.9002,76.9938,CO,62,90,71
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","26-02-2026 10:00:00",12.921418,77.502466,CO,2,33,3
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","26-02-2026 10:00:00",12.990328,77.5431385,SO2,6,7,6
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","26-02-2026 10:00:00",13.0246342,77.5080115,NH3,3,3,3
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","26-02-2026 10:00:00",12.917348,77.622813,PM10,65,189,114
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","26-02-2026 10:00:00",12.917348,77.622813,NO2,44,126,73
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","26-02-2026 10:00:00",11.55358,76.55521,NH3,1,3,2
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","26-02-2026 10:00:00",11.55358,76.55521,CO,12,24,16
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","26-02-2026 10:00:00",29.432304,76.972765,CO,48,52,49
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","26-02-2026 10:00:00",28.52123,76.37138,OZONE,39,40,39
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","26-02-2026 10:00:00",29.536400,75.015800,NO2,18,95,24
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","26-02-2026 10:00:00",29.536400,75.015800,SO2,1,38,12
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","26-02-2026 10:00:00",29.027200,77.062100,PM2.5,NA,NA,NA
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","26-02-2026 10:00:00",29.027200,77.062100,NH3,NA,NA,NA
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","26-02-2026 10:00:00",30.1480566,77.2893471,SO2,10,15,12
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","26-02-2026 10:00:00",28.4417,77.3217,NH3,11,12,11
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","26-02-2026 10:00:00",29.503664,75.467934,NH3,13,14,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","26-02-2026 10:00:00",29.503664,75.467934,SO2,10,11,10
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","26-02-2026 10:00:00",28.4227,77.0667,PM2.5,84,439,287
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","26-02-2026 10:00:00",28.4227,77.0667,CO,30,104,82
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","26-02-2026 10:00:00",28.4501238,77.0263051,OZONE,NA,NA,NA
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","26-02-2026 10:00:00",29.140560,75.744941,CO,NA,NA,NA
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","26-02-2026 10:00:00",12.21041,76.37376,PM2.5,19,51,29
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","26-02-2026 10:00:00",12.21041,76.37376,NH3,3,7,5
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","26-02-2026 10:00:00",12.21041,76.37376,CO,8,38,8
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","26-02-2026 10:00:00",12.733409,77.298051,CO,22,50,35
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","26-02-2026 10:00:00",16.7602,77.1428,NO2,7,34,17
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","26-02-2026 10:00:00",22.6780,75.8559,PM2.5,24,218,68
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","26-02-2026 10:00:00",22.6780,75.8559,NH3,1,3,2
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","26-02-2026 10:00:00",22.6780,75.8559,SO2,12,15,13
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","26-02-2026 10:00:00",22.6780,75.8559,OZONE,5,9,5
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","26-02-2026 10:00:00",22.7084,75.8815,PM10,21,113,67
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","26-02-2026 10:00:00",22.7084,75.8815,OZONE,5,17,6
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","26-02-2026 10:00:00",23.163174,79.973061,PM2.5,18,48,34
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","26-02-2026 10:00:00",23.142888,79.916147,CO,38,113,48
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","26-02-2026 10:00:00",23.168606,79.932247,NH3,1,2,2
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","26-02-2026 10:00:00",23.168606,79.932247,CO,41,163,64
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","26-02-2026 10:00:00",19.9775302,79.2337086,CO,38,42,40
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","26-02-2026 10:00:00",20.918946,74.776388,NH3,2,2,2
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB","26-02-2026 10:00:00",21.001264,75.565602,PM2.5,58,149,98
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB","26-02-2026 10:00:00",21.001264,75.565602,NH3,2,3,2
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB","26-02-2026 10:00:00",19.25292,73.142019,PM2.5,15,117,50
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB","26-02-2026 10:00:00",19.25292,73.142019,NH3,1,1,1
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB","26-02-2026 10:00:00",19.25292,73.142019,OZONE,8,11,8
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB","26-02-2026 10:00:00",16.6870449,74.2505872,PM2.5,29,49,38
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB","26-02-2026 10:00:00",16.6870449,74.2505872,NO2,NA,NA,NA
India,"Madhya Pradesh",Sagar,"Deen Dayal Nagar, Sagar - MPPCB","26-02-2026 10:00:00",23.8640158,78.80289321,PM2.5,11,84,37
India,"Madhya Pradesh",Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB","26-02-2026 10:00:00",24.108970,82.645580,SO2,NA,NA,NA
India,"Madhya Pradesh",Ujjain,"Mahashweta Nagar, Ujjain - MPPCB","26-02-2026 10:00:00",23.1633321,75.800225,SO2,1,11,4
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB","26-02-2026 10:00:00",19.10122,74.73339,PM10,58,142,88
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB","26-02-2026 10:00:00",19.10122,74.73339,NH3,5,7,6
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","26-02-2026 10:00:00",20.719516,77.000253,NO2,9,83,30
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","26-02-2026 10:00:00",26.203442,78.193251,CO,10,109,20
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","26-02-2026 10:00:00",26.259242,78.216432,NO2,10,19,15
